video_id,Comment,neg,neu,pos,compound
pB2Yf-EewJs,"the reason i watch your videos is for a variety of reasons, sushi is probably my favorite type of food out there i have always enjoyed it for as long as i can remember. also i view sushi as a sort of food art and the way you prepare your sushi and the amount of detail you put into the garnishes is simply awe inspiring to me, the devotion you put into your videos and your sushi is amazing and i will continue to watch these videos to watch these videos to learn and be entertained. P.S. i made that ginger salsa and loved it with some salmon i grilled.",0.0,0.821,0.179,0.9702
pB2Yf-EewJs,"I personally watch not only because your videos are, for lack of a better word, awesome. But I also watch because sushi has been a food I have been interested in since I first saw it made as a kid and I haven't seen many better videos. I'm now looking to get into the industry and these are a major help. So thank you chef for doing what you do.",0.056,0.744,0.2,0.9207
pB2Yf-EewJs,"I really enjoying watching your channel for improving technique. Started making sushi beginning of the year and you've been a big help, thanks for the lessons!",0.0,0.64,0.36,0.9078
pB2Yf-EewJs,It's a combination of entertainment and education for me. I enjoy watching you make things because of how relaxed you are and that you use SI units! But also you of course teach the different varieties of sushi rolls. I like making what you show also. Greetings from Canada!,0.0,0.763,0.237,0.9124
pB2Yf-EewJs,"Chef, I really enjoy watching your videos - they are both entertaining & informative. I am in the process of learning to make my own sushi & your instructions are very good for a novice like me. Thank you!",0.0,0.696,0.304,0.931
pB2Yf-EewJs,Also love your garnish videos - so useful for prettying up party platters of less interesting food!,0.0,0.494,0.506,0.9237
pB2Yf-EewJs,"I started watching your videos because you had such a unique and personal touch to your beautiful rolls and even your garnishes, and I wish to prepare well-made sushi to my family someday :) ",0.0,0.764,0.236,0.8625
pB2Yf-EewJs,"I watch because I love sushi, your videos are entertaining, and many of your recipes are downright artistic. I'm a foodie so all of those things got me hooked on ""How to Make Sushi!"" I have never made sushi but I totally intend on trying some of your recipes (like the one above).",0.0,0.861,0.139,0.7959
pB2Yf-EewJs,"I absolutely love watching your channel man!  Thanks for sharing your knowledge of sushi making.  It has inspired me to step outside the box, and step up my game!  Thanks brian",0.0,0.606,0.394,0.9507
pB2Yf-EewJs,"I love watching how sushi is prepared and the different recipes, they make my mouth water. It also reminds me that I seriously don't eat enough asian cuisine as I probably should.",0.046,0.788,0.166,0.6597
pB2Yf-EewJs,"I've been rolling sushi for a couple of years now, and very much enjoy your presentations and rolls, especially the more artistic ones (dragon roll, panda roll, etc.). MUCH THX for this series of vids!",0.0,0.825,0.175,0.7908
6Op0Ce5in-s,"Thank you for your videos, I learned alot from you...so much in fact I got a job as a sushi chef ",0.0,0.889,0.111,0.3612
6Op0Ce5in-s,"Well chef you’ve come up with a winner again ! I’m on a low carb diet and this fits the bill , I might even try some with cooked shrimp , or crab meat , great video , keep um coming ",0.043,0.749,0.208,0.8478
6Op0Ce5in-s,"Beautiful! Thank you so much! I have lunch with my Dad once a week and we always cook something fun. He’s going to love this! You are such a wonderful teacher, lending the confidence to us to jump in and try. You also look just like my brother lol. Hope you have a lovely rest of your week, Chef ",0.0,0.592,0.408,0.987
6Op0Ce5in-s,"Holy shit - I just started watching a bunch of your videos and all were pre 2019. Just watched this one and realized it's from 2 days ago. Good to see you're still uploading content (great content!) Thanks for all of it. As someone who picked up the art of sushi making during the pandemic, I enjoy watching chefs like you and Chef Hiroyuki Terada's channels. Thanks again!!!",0.043,0.724,0.233,0.9439
6Op0Ce5in-s,What an amazing video! Love the roll! Great work Chef!,0.0,0.35,0.65,0.9322
6Op0Ce5in-s,"Beautiful, simple, delicious ingredients and healthy. Thank you!",0.0,0.234,0.766,0.92
6Op0Ce5in-s,looks very refreshing for this summer!,0.0,1.0,0.0,0.0
6Op0Ce5in-s,"I was wondering recently:
""Where is that great How To Make Sushi Channel content?""
And there it is! Thanks. 
I am not joking :) your content is that good - people are thinking about it even when you don't post.",0.084,0.709,0.207,0.7933
6Op0Ce5in-s,Great to have you back making videos. I think I followed because I started upping my Sushi rice (and house soy) game and I really can't pay you back for that gift.,0.0,0.772,0.228,0.8212
6Op0Ce5in-s,Looks yummy,0.0,0.227,0.773,0.5267
6Op0Ce5in-s,"Yep man, i am watching and learning lots from my childhood  with you ",0.0,0.845,0.155,0.296
6Op0Ce5in-s,"Yummy , I’ll try  it sometime.",0.0,0.595,0.405,0.5267
6Op0Ce5in-s, Delicious! ,0.0,0.0,1.0,0.6114
6Op0Ce5in-s,ITS GREAT to see you making videos again!!!,0.0,0.551,0.449,0.7723
6Op0Ce5in-s,Another good recipe ,0.0,0.408,0.592,0.4404
6Op0Ce5in-s,"Hey Chef Devaux, it's me again, 440, with a question to keep that comment count up.
Do you think a rounded up roll of rice (open faced, maybe even double layered with a sliver of nori in the middle) inside of this sushi creation of yours would be a good idea? 
Maybe give it structure, add texture or something? Comment below for an answer to me. Thanks!",0.0,0.882,0.118,0.8202
6Op0Ce5in-s,Missed ya man been a long time ,0.268,0.732,0.0,-0.296
6Op0Ce5in-s,Thank you for this exellent and easy recipie,0.0,0.526,0.474,0.6597
6Op0Ce5in-s,You are too dope. I think I'd be able to make this one.,0.0,1.0,0.0,0.0
6Op0Ce5in-s,Thanks for sharing ,0.0,0.149,0.851,0.6908
uPb6Yiu4N3E,Muy rico!,0.0,1.0,0.0,0.0
uPb6Yiu4N3E,Süper ,0.0,1.0,0.0,0.0
1MyYvZ9RrTg,ESCRIBE UN COMENTARIO o haz una pregunta sobre la receta. Estaré encantada de responderte.,0.0,1.0,0.0,0.0
1MyYvZ9RrTg,Que buena pinta tiene esta receta  Te dejo mi  Saludos,0.0,1.0,0.0,0.0
0tOpnSIBueU,"Recuerda suscribirte al canal para mas recetas: 
https://www.youtube.com/channel/UC62SKFX5ksLQLwCQhtFKQ3Q",0.0,1.0,0.0,0.0
0tOpnSIBueU,"Nunca se me había ocurrido hacerlo de guanábana, tengo que probarlo ",0.0,1.0,0.0,0.0
0tOpnSIBueU,Se ve muy rico seguiré la receta y are uno ,0.0,1.0,0.0,0.0
